n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
500,nodes_full_graph,10,10,1613.9,25.45344333833397,1576.0,1649.0,0.015771388151889193
500,edges_full_graph,10,10,1567.0,36.02468289628346,1500.0,1627.0,0.022989587042937753
500,density_full_graph,10,10,0.0012052492327072326,5.8875261385879725e-05,0.0011106619100719264,0.0012931769825763112,0.0488490345300897
500,n_components_full_graph,10,10,607.8,29.772470505485433,573.0,649.0,0.04898399227621822
500,lcc_nodes,10,10,806.5,33.51036323951808,749.0,841.0,0.041550357395558686
500,lcc_edges,10,10,1331.5,61.90359889017403,1212.0,1402.0,0.04649162515221482
500,lcc_fraction_nodes,10,10,0.5000145933170193,0.026271742869722607,0.4555961070559611,0.5326569435637286,0.0525419522167142
500,modularity,10,0,,,,,
500,n_communities,10,10,0.0,0.0,0.0,0.0,
500,mean_degree,10,10,1.9426937896015044,0.06745741999240375,1.8248175182481752,2.038046924540266,0.03472365040413341
500,mean_weighted_degree,10,10,2.1262278935162966,0.0792442605348298,1.9793187347931873,2.246036778693722,0.03726988098334927
500,clustering_coefficient,10,10,0.24061162470965275,0.011691774484845487,0.21891798918616592,0.25882241435088454,0.04859189367493782
500,backbone_nodes,10,10,0.0,0.0,0.0,0.0,
500,backbone_edges,10,10,0.0,0.0,0.0,0.0,
500,backbone_components,10,10,0.0,0.0,0.0,0.0,
500,backbone_density,10,10,0.0,0.0,0.0,0.0,
500,backbone_lcc_nodes,10,10,0.0,0.0,0.0,0.0,
500,backbone_lcc_edges,10,10,0.0,0.0,0.0,0.0,
500,backbone_lcc_fraction_nodes,10,10,0.0,0.0,0.0,0.0,
500,backbone_mean_degree,10,0,,,,,
500,backbone_mean_weighted_degree,10,0,,,,,
500,backbone_empty,10,10,1.0,0.0,1.0,1.0,0.0
500,vocabulary_size,10,10,1613.9,25.45344333833397,1576.0,1649.0,0.015771388151889193
500,runtime_total_seconds,10,10,3.686392888991395,0.08810926277957257,3.5778362799901515,3.867471918987576,0.02390121330873103
500,runtime_embedding_seconds,10,10,3.5268458925071173,0.08659385629594309,3.420049625041429,3.7053314360091463,0.02455277574784715
